\u4E00,0001
\u4E01,0002
\u4E03,0003
\u4E07,8001
\u4E08,0004
\u4E09,0005
\u4E0A,0006
\u4E0B,0007
\u4E0D,0008
\u4E0E,5280
\u4E0F,0018
\u4E10,0009
\u4E11,0010
\u4E13,1413
\u4E14,0011
\u4E15,0012
\u4E16,0013
\u4E18,8002
\u4E19,0014
\u4E1A,2814
\u4E1B,0654
\u4E1C,2639
\u4E1D,4828
\u4E1E,0015
\u4E22,0016
\u4E24,0357
\u4E25,0917
\u4E26,0017
\u4E27,0828
\u4E28,0019
\u4E2A,0020
\u4E2B,0021
\u4E2D,0022
\u4E30,0023
\u4E32,0025
\u4E34,5259
\u4E36,0027
\u4E38,0029
\u4E39,0030
\u4E3A,3634
\u4E3B,0031
\u4E3D,7787
\u4E3E,5282
\u4E3F,0033
\u4E42,0034
\u4E43,0035
\u4E45,0036
\u4E48,8010
\u4E49,5030
\u4E4B,0037
\u4E4C,3527
\u4E4D,0038
\u4E4E,0039
\u4E4F,0040
\u4E50,2867
\u4E52,8003
\u4E53,8004
\u4E54,0829
\u4E56,0041
\u4E58,0042
\u4E59,0044
\u4E5C,0045
\u4E5D,0046
\u4E5E,0047
\u4E5F,0048
\u4E60,5045
\u4E61,6763
\u4E66,2579
\u4E69,8012
\u4E70,6314
\u4E71,0052
\u4E73,0050
\u4E7E,0051
\u4E85,0054
\u4E86,0055
\u4E88,0056
\u4E89,3630
\u4E8B,0057
\u4E8C,0059
\u4E8D,8015
\u4E8E,0060
\u4E8F,5719
\u4E91,0061
\u4E92,0062
\u4E93,8016
\u4E94,0063
\u4E95,0064
\u4E98,8017
\u4E9A,0068
\u4E9B,0067
\u4E9F,0069
\u4EA0,0071
\u4EA1,0072
\u4EA2,0073
\u4EA4,0074
\u4EA5,0075
\u4EA6,0076
\u4EA7,3934
\u4EA8,0077
\u4EA9,3965
\u4EAB,0078
\u4EAC,0079
\u4EAD,0080
\u4EAE,0081
\u4EB2,6024
\u4EB3,0082
\u4EB5,5978
\u4EB6,0083
\u4EBA,0086
\u4EBF,0310
\u4EC0,0087
\u4EC1,0088
\u4EC2,8021
\u4EC3,0089
\u4EC4,0090
\u4EC5,0284
\u4EC6,0091
\u4EC7,0092
\u4EC9,8022
\u4ECA,0093
\u4ECB,0094
\u4ECD,0095
\u4ECE,1783
\u4ED1,0178
\u4ED3,0221
\u4ED4,0098
\u4ED5,0099
\u4ED6,0100
\u4ED7,0101
\u4ED8,0102
\u4ED9,0103
\u4EDD,0104
\u4EDE,0105
\u4EDF,0107
\u4EE1,0106
\u4EE3,0108
\u4EE4,0109
\u4EE5,0110
\u4EEA,0308
\u4EEB,0261
\u4EEC,0226
\u4EF0,0111
\u4EF2,0112
\u4EF3,0113
\u4EF5,0114
\u4EF6,0115
\u4EF7,0116
\u4EFB,0117
\u4EFD,0118
\u4EFF,0119
\u4F01,0120
\u4F03,8024
\u4F09,0121
\u4F0A,0122
\u4F0B,0123
\u4F0D,0124
\u4F0E,0125
\u4F0F,0126
\u4F10,0127
\u4F11,0128
\u4F15,0183
\u4F17,5883
\u4F18,0327
\u4F19,0129
\u4F1A,2585
\u4F1B,0279
\u4F1E,0270
\u4F1F,0251
\u4F20,0278
\u4F21,8046
\u4F22,0161
\u4F23,8044
\u4F24,0281
\u4F25,0210
\u4F26,0243
\u4F27,0263
\u4F2A,0298
\u4F2B,8028
\u4F2F,0130
\u4F30,0131
\u4F34,0133
\u4F36,0134
\u4F38,0135
\u4F3A,0136
\u4F3B,0137
\u4F3C,0138
\u4F3D,8026
\u4F43,0140
\u4F46,0141
\u4F4D,0143
\u4F4E,0144
\u4F4F,0145
\u4F50,0146
\u4F51,0147
\u4F53,7555
\u4F55,0149
\u4F57,0150
\u4F58,0152
